Record: St. Kitts and Nevis (KNA), indicator=Maternal_Mortality_Ratio
St. Kitts and Nevis observed maternal_mortality_year2000=143 per 100,000 live births.
St. Kitts and Nevis observed maternal_mortality_year2001=131 per 100,000 live births.
St. Kitts and Nevis observed maternal_mortality_year2002=115 per 100,000 live births.
St. Kitts and Nevis observed maternal_mortality_year2003=111 per 100,000 live births.
St. Kitts and Nevis observed maternal_mortality_year2004=104 per 100,000 live births.
St. Kitts and Nevis observed maternal_mortality_year2005=102 per 100,000 live births.
St. Kitts and Nevis observed maternal_mortality_year2006=99 per 100,000 live births.
St. Kitts and Nevis observed maternal_mortality_year2007=96 per 100,000 live births.
St. Kitts and Nevis observed maternal_mortality_year2008=95 per 100,000 live births.
St. Kitts and Nevis observed maternal_mortality_year2009=93 per 100,000 live births.
St. Kitts and Nevis observed maternal_mortality_year2010=92 per 100,000 live births.
St. Kitts and Nevis observed maternal_mortality_year2011=90 per 100,000 live births.
St. Kitts and Nevis observed maternal_mortality_year2012=88 per 100,000 live births.
St. Kitts and Nevis observed maternal_mortality_year2013=82 per 100,000 live births.
St. Kitts and Nevis observed maternal_mortality_year2014=82 per 100,000 live births.
St. Kitts and Nevis observed maternal_mortality_year2015=76 per 100,000 live births.
St. Kitts and Nevis observed maternal_mortality_year2016=75 per 100,000 live births.
St. Kitts and Nevis observed maternal_mortality_year2017=74 per 100,000 live births.
St. Kitts and Nevis observed maternal_mortality_year2018=78 per 100,000 live births.
St. Kitts and Nevis observed maternal_mortality_year2019=74 per 100,000 live births.
St. Kitts and Nevis observed maternal_mortality_year2020=80 per 100,000 live births.
St. Kitts and Nevis observed maternal_mortality_year2021=111 per 100,000 live births.
