Record: Latin America & Caribbean (excluding high income) (LAC), indicator=Maternal_Mortality_Ratio
Latin America & Caribbean (excluding high income) observed maternal_mortality_year2000=94 per 100,000 live births.
Latin America & Caribbean (excluding high income) observed maternal_mortality_year2001=92 per 100,000 live births.
Latin America & Caribbean (excluding high income) observed maternal_mortality_year2002=89 per 100,000 live births.
Latin America & Caribbean (excluding high income) observed maternal_mortality_year2003=88 per 100,000 live births.
Latin America & Caribbean (excluding high income) observed maternal_mortality_year2004=89 per 100,000 live births.
Latin America & Caribbean (excluding high income) observed maternal_mortality_year2005=87 per 100,000 live births.
Latin America & Caribbean (excluding high income) observed maternal_mortality_year2006=86 per 100,000 live births.
Latin America & Caribbean (excluding high income) observed maternal_mortality_year2007=85 per 100,000 live births.
Latin America & Caribbean (excluding high income) observed maternal_mortality_year2008=85 per 100,000 live births.
Latin America & Caribbean (excluding high income) observed maternal_mortality_year2009=83 per 100,000 live births.
Latin America & Caribbean (excluding high income) observed maternal_mortality_year2010=81 per 100,000 live births.
Latin America & Caribbean (excluding high income) observed maternal_mortality_year2011=77 per 100,000 live births.
Latin America & Caribbean (excluding high income) observed maternal_mortality_year2012=74 per 100,000 live births.
Latin America & Caribbean (excluding high income) observed maternal_mortality_year2013=73 per 100,000 live births.
Latin America & Caribbean (excluding high income) observed maternal_mortality_year2014=73 per 100,000 live births.
Latin America & Caribbean (excluding high income) observed maternal_mortality_year2015=72 per 100,000 live births.
Latin America & Caribbean (excluding high income) observed maternal_mortality_year2016=72 per 100,000 live births.
Latin America & Caribbean (excluding high income) observed maternal_mortality_year2017=70 per 100,000 live births.
Latin America & Caribbean (excluding high income) observed maternal_mortality_year2018=71 per 100,000 live births.
Latin America & Caribbean (excluding high income) observed maternal_mortality_year2019=71 per 100,000 live births.
Latin America & Caribbean (excluding high income) observed maternal_mortality_year2020=88 per 100,000 live births.
Latin America & Caribbean (excluding high income) observed maternal_mortality_year2021=132 per 100,000 live births.
