Record: Liberia (LBR), indicator=Maternal_Mortality_Ratio
Liberia observed maternal_mortality_year2000=786 per 100,000 live births.
Liberia observed maternal_mortality_year2001=720 per 100,000 live births.
Liberia observed maternal_mortality_year2002=700 per 100,000 live births.
Liberia observed maternal_mortality_year2003=759 per 100,000 live births.
Liberia observed maternal_mortality_year2004=645 per 100,000 live births.
Liberia observed maternal_mortality_year2005=619 per 100,000 live births.
Liberia observed maternal_mortality_year2006=647 per 100,000 live births.
Liberia observed maternal_mortality_year2007=659 per 100,000 live births.
Liberia observed maternal_mortality_year2008=663 per 100,000 live births.
Liberia observed maternal_mortality_year2009=674 per 100,000 live births.
Liberia observed maternal_mortality_year2010=712 per 100,000 live births.
Liberia observed maternal_mortality_year2011=726 per 100,000 live births.
Liberia observed maternal_mortality_year2012=728 per 100,000 live births.
Liberia observed maternal_mortality_year2013=725 per 100,000 live births.
Liberia observed maternal_mortality_year2014=801 per 100,000 live births.
Liberia observed maternal_mortality_year2015=784 per 100,000 live births.
Liberia observed maternal_mortality_year2016=690 per 100,000 live births.
Liberia observed maternal_mortality_year2017=703 per 100,000 live births.
Liberia observed maternal_mortality_year2018=707 per 100,000 live births.
Liberia observed maternal_mortality_year2019=689 per 100,000 live births.
Liberia observed maternal_mortality_year2020=664 per 100,000 live births.
Liberia observed maternal_mortality_year2021=667 per 100,000 live births.
