Record: Least developed countries: UN classification (LDC), indicator=Maternal_Mortality_Ratio
Least developed countries: UN classification observed maternal_mortality_year2000=675 per 100,000 live births.
Least developed countries: UN classification observed maternal_mortality_year2001=646 per 100,000 live births.
Least developed countries: UN classification observed maternal_mortality_year2002=621 per 100,000 live births.
Least developed countries: UN classification observed maternal_mortality_year2003=592 per 100,000 live births.
Least developed countries: UN classification observed maternal_mortality_year2004=570 per 100,000 live births.
Least developed countries: UN classification observed maternal_mortality_year2005=555 per 100,000 live births.
Least developed countries: UN classification observed maternal_mortality_year2006=543 per 100,000 live births.
Least developed countries: UN classification observed maternal_mortality_year2007=537 per 100,000 live births.
Least developed countries: UN classification observed maternal_mortality_year2008=529 per 100,000 live births.
Least developed countries: UN classification observed maternal_mortality_year2009=517 per 100,000 live births.
Least developed countries: UN classification observed maternal_mortality_year2010=503 per 100,000 live births.
Least developed countries: UN classification observed maternal_mortality_year2011=484 per 100,000 live births.
Least developed countries: UN classification observed maternal_mortality_year2012=463 per 100,000 live births.
Least developed countries: UN classification observed maternal_mortality_year2013=447 per 100,000 live births.
Least developed countries: UN classification observed maternal_mortality_year2014=436 per 100,000 live births.
Least developed countries: UN classification observed maternal_mortality_year2015=421 per 100,000 live births.
Least developed countries: UN classification observed maternal_mortality_year2016=402 per 100,000 live births.
Least developed countries: UN classification observed maternal_mortality_year2017=382 per 100,000 live births.
Least developed countries: UN classification observed maternal_mortality_year2018=356 per 100,000 live births.
Least developed countries: UN classification observed maternal_mortality_year2019=342 per 100,000 live births.
Least developed countries: UN classification observed maternal_mortality_year2020=325 per 100,000 live births.
Least developed countries: UN classification observed maternal_mortality_year2021=344 per 100,000 live births.
