Record: Lower middle income (LMC), indicator=Maternal_Mortality_Ratio
Lower middle income observed maternal_mortality_year2000=433 per 100,000 live births.
Lower middle income observed maternal_mortality_year2001=421 per 100,000 live births.
Lower middle income observed maternal_mortality_year2002=405 per 100,000 live births.
Lower middle income observed maternal_mortality_year2003=389 per 100,000 live births.
Lower middle income observed maternal_mortality_year2004=375 per 100,000 live births.
Lower middle income observed maternal_mortality_year2005=362 per 100,000 live births.
Lower middle income observed maternal_mortality_year2006=351 per 100,000 live births.
Lower middle income observed maternal_mortality_year2007=343 per 100,000 live births.
Lower middle income observed maternal_mortality_year2008=338 per 100,000 live births.
Lower middle income observed maternal_mortality_year2009=330 per 100,000 live births.
Lower middle income observed maternal_mortality_year2010=322 per 100,000 live births.
Lower middle income observed maternal_mortality_year2011=315 per 100,000 live births.
Lower middle income observed maternal_mortality_year2012=308 per 100,000 live births.
Lower middle income observed maternal_mortality_year2013=304 per 100,000 live births.
Lower middle income observed maternal_mortality_year2014=298 per 100,000 live births.
Lower middle income observed maternal_mortality_year2015=291 per 100,000 live births.
Lower middle income observed maternal_mortality_year2016=283 per 100,000 live births.
Lower middle income observed maternal_mortality_year2017=274 per 100,000 live births.
Lower middle income observed maternal_mortality_year2018=266 per 100,000 live births.
Lower middle income observed maternal_mortality_year2019=257 per 100,000 live births.
Lower middle income observed maternal_mortality_year2020=251 per 100,000 live births.
Lower middle income observed maternal_mortality_year2021=289 per 100,000 live births.
