Record: Maldives (MDV), indicator=Maternal_Mortality_Ratio
Maldives observed maternal_mortality_year2000=94 per 100,000 live births.
Maldives observed maternal_mortality_year2001=81 per 100,000 live births.
Maldives observed maternal_mortality_year2002=76 per 100,000 live births.
Maldives observed maternal_mortality_year2003=70 per 100,000 live births.
Maldives observed maternal_mortality_year2004=65 per 100,000 live births.
Maldives observed maternal_mortality_year2005=54 per 100,000 live births.
Maldives observed maternal_mortality_year2006=52 per 100,000 live births.
Maldives observed maternal_mortality_year2007=51 per 100,000 live births.
Maldives observed maternal_mortality_year2008=53 per 100,000 live births.
Maldives observed maternal_mortality_year2009=52 per 100,000 live births.
Maldives observed maternal_mortality_year2010=49 per 100,000 live births.
Maldives observed maternal_mortality_year2011=48 per 100,000 live births.
Maldives observed maternal_mortality_year2012=47 per 100,000 live births.
Maldives observed maternal_mortality_year2013=47 per 100,000 live births.
Maldives observed maternal_mortality_year2014=43 per 100,000 live births.
Maldives observed maternal_mortality_year2015=41 per 100,000 live births.
Maldives observed maternal_mortality_year2016=41 per 100,000 live births.
Maldives observed maternal_mortality_year2017=41 per 100,000 live births.
Maldives observed maternal_mortality_year2018=40 per 100,000 live births.
Maldives observed maternal_mortality_year2019=39 per 100,000 live births.
Maldives observed maternal_mortality_year2020=48 per 100,000 live births.
Maldives observed maternal_mortality_year2021=60 per 100,000 live births.
