Record: North Macedonia (MKD), indicator=Maternal_Mortality_Ratio
North Macedonia observed maternal_mortality_year2000=11 per 100,000 live births.
North Macedonia observed maternal_mortality_year2001=9 per 100,000 live births.
North Macedonia observed maternal_mortality_year2002=10 per 100,000 live births.
North Macedonia observed maternal_mortality_year2003=8 per 100,000 live births.
North Macedonia observed maternal_mortality_year2004=8 per 100,000 live births.
North Macedonia observed maternal_mortality_year2005=7 per 100,000 live births.
North Macedonia observed maternal_mortality_year2006=7 per 100,000 live births.
North Macedonia observed maternal_mortality_year2007=7 per 100,000 live births.
North Macedonia observed maternal_mortality_year2008=6 per 100,000 live births.
North Macedonia observed maternal_mortality_year2009=6 per 100,000 live births.
North Macedonia observed maternal_mortality_year2010=5 per 100,000 live births.
North Macedonia observed maternal_mortality_year2011=5 per 100,000 live births.
North Macedonia observed maternal_mortality_year2012=5 per 100,000 live births.
North Macedonia observed maternal_mortality_year2013=5 per 100,000 live births.
North Macedonia observed maternal_mortality_year2014=4 per 100,000 live births.
North Macedonia observed maternal_mortality_year2015=4 per 100,000 live births.
North Macedonia observed maternal_mortality_year2016=4 per 100,000 live births.
North Macedonia observed maternal_mortality_year2017=4 per 100,000 live births.
North Macedonia observed maternal_mortality_year2018=3 per 100,000 live births.
North Macedonia observed maternal_mortality_year2019=3 per 100,000 live births.
North Macedonia observed maternal_mortality_year2020=7 per 100,000 live births.
North Macedonia observed maternal_mortality_year2021=12 per 100,000 live births.
