Record: Mauritania (MRT), indicator=Maternal_Mortality_Ratio
Mauritania observed maternal_mortality_year2000=644 per 100,000 live births.
Mauritania observed maternal_mortality_year2001=616 per 100,000 live births.
Mauritania observed maternal_mortality_year2002=590 per 100,000 live births.
Mauritania observed maternal_mortality_year2003=571 per 100,000 live births.
Mauritania observed maternal_mortality_year2004=557 per 100,000 live births.
Mauritania observed maternal_mortality_year2005=536 per 100,000 live births.
Mauritania observed maternal_mortality_year2006=521 per 100,000 live births.
Mauritania observed maternal_mortality_year2007=516 per 100,000 live births.
Mauritania observed maternal_mortality_year2008=506 per 100,000 live births.
Mauritania observed maternal_mortality_year2009=500 per 100,000 live births.
Mauritania observed maternal_mortality_year2010=499 per 100,000 live births.
Mauritania observed maternal_mortality_year2011=494 per 100,000 live births.
Mauritania observed maternal_mortality_year2012=496 per 100,000 live births.
Mauritania observed maternal_mortality_year2013=496 per 100,000 live births.
Mauritania observed maternal_mortality_year2014=484 per 100,000 live births.
Mauritania observed maternal_mortality_year2015=469 per 100,000 live births.
Mauritania observed maternal_mortality_year2016=456 per 100,000 live births.
Mauritania observed maternal_mortality_year2017=450 per 100,000 live births.
Mauritania observed maternal_mortality_year2018=437 per 100,000 live births.
Mauritania observed maternal_mortality_year2019=424 per 100,000 live births.
Mauritania observed maternal_mortality_year2020=413 per 100,000 live births.
Mauritania observed maternal_mortality_year2021=425 per 100,000 live births.
