Record: New Zealand (NZL), indicator=Maternal_Mortality_Ratio
New Zealand observed maternal_mortality_year2000=11 per 100,000 live births.
New Zealand observed maternal_mortality_year2001=10 per 100,000 live births.
New Zealand observed maternal_mortality_year2002=11 per 100,000 live births.
New Zealand observed maternal_mortality_year2003=11 per 100,000 live births.
New Zealand observed maternal_mortality_year2004=11 per 100,000 live births.
New Zealand observed maternal_mortality_year2005=11 per 100,000 live births.
New Zealand observed maternal_mortality_year2006=10 per 100,000 live births.
New Zealand observed maternal_mortality_year2007=10 per 100,000 live births.
New Zealand observed maternal_mortality_year2008=10 per 100,000 live births.
New Zealand observed maternal_mortality_year2009=10 per 100,000 live births.
New Zealand observed maternal_mortality_year2010=10 per 100,000 live births.
New Zealand observed maternal_mortality_year2011=10 per 100,000 live births.
New Zealand observed maternal_mortality_year2012=9 per 100,000 live births.
New Zealand observed maternal_mortality_year2013=8 per 100,000 live births.
New Zealand observed maternal_mortality_year2014=7 per 100,000 live births.
New Zealand observed maternal_mortality_year2015=8 per 100,000 live births.
New Zealand observed maternal_mortality_year2016=8 per 100,000 live births.
New Zealand observed maternal_mortality_year2017=8 per 100,000 live births.
New Zealand observed maternal_mortality_year2018=7 per 100,000 live births.
New Zealand observed maternal_mortality_year2019=8 per 100,000 live births.
New Zealand observed maternal_mortality_year2020=8 per 100,000 live births.
New Zealand observed maternal_mortality_year2021=8 per 100,000 live births.
