Record: Oman (OMN), indicator=Maternal_Mortality_Ratio
Oman observed maternal_mortality_year2000=19 per 100,000 live births.
Oman observed maternal_mortality_year2001=18 per 100,000 live births.
Oman observed maternal_mortality_year2002=18 per 100,000 live births.
Oman observed maternal_mortality_year2003=18 per 100,000 live births.
Oman observed maternal_mortality_year2004=18 per 100,000 live births.
Oman observed maternal_mortality_year2005=18 per 100,000 live births.
Oman observed maternal_mortality_year2006=18 per 100,000 live births.
Oman observed maternal_mortality_year2007=18 per 100,000 live births.
Oman observed maternal_mortality_year2008=18 per 100,000 live births.
Oman observed maternal_mortality_year2009=17 per 100,000 live births.
Oman observed maternal_mortality_year2010=17 per 100,000 live births.
Oman observed maternal_mortality_year2011=16 per 100,000 live births.
Oman observed maternal_mortality_year2012=16 per 100,000 live births.
Oman observed maternal_mortality_year2013=15 per 100,000 live births.
Oman observed maternal_mortality_year2014=15 per 100,000 live births.
Oman observed maternal_mortality_year2015=15 per 100,000 live births.
Oman observed maternal_mortality_year2016=14 per 100,000 live births.
Oman observed maternal_mortality_year2017=14 per 100,000 live births.
Oman observed maternal_mortality_year2018=14 per 100,000 live births.
Oman observed maternal_mortality_year2019=14 per 100,000 live births.
Oman observed maternal_mortality_year2020=32 per 100,000 live births.
Oman observed maternal_mortality_year2021=74 per 100,000 live births.
