Record: Pakistan (PAK), indicator=Maternal_Mortality_Ratio
Pakistan observed maternal_mortality_year2000=419 per 100,000 live births.
Pakistan observed maternal_mortality_year2001=400 per 100,000 live births.
Pakistan observed maternal_mortality_year2002=380 per 100,000 live births.
Pakistan observed maternal_mortality_year2003=358 per 100,000 live births.
Pakistan observed maternal_mortality_year2004=333 per 100,000 live births.
Pakistan observed maternal_mortality_year2005=316 per 100,000 live births.
Pakistan observed maternal_mortality_year2006=284 per 100,000 live births.
Pakistan observed maternal_mortality_year2007=265 per 100,000 live births.
Pakistan observed maternal_mortality_year2008=254 per 100,000 live births.
Pakistan observed maternal_mortality_year2009=246 per 100,000 live births.
Pakistan observed maternal_mortality_year2010=240 per 100,000 live births.
Pakistan observed maternal_mortality_year2011=234 per 100,000 live births.
Pakistan observed maternal_mortality_year2012=227 per 100,000 live births.
Pakistan observed maternal_mortality_year2013=220 per 100,000 live births.
Pakistan observed maternal_mortality_year2014=211 per 100,000 live births.
Pakistan observed maternal_mortality_year2015=202 per 100,000 live births.
Pakistan observed maternal_mortality_year2016=193 per 100,000 live births.
Pakistan observed maternal_mortality_year2017=184 per 100,000 live births.
Pakistan observed maternal_mortality_year2018=178 per 100,000 live births.
Pakistan observed maternal_mortality_year2019=173 per 100,000 live births.
Pakistan observed maternal_mortality_year2020=178 per 100,000 live births.
Pakistan observed maternal_mortality_year2021=193 per 100,000 live births.
