Record: Palau (PLW), indicator=Maternal_Mortality_Ratio
Palau observed maternal_mortality_year2000=119 per 100,000 live births.
Palau observed maternal_mortality_year2001=118 per 100,000 live births.
Palau observed maternal_mortality_year2002=117 per 100,000 live births.
Palau observed maternal_mortality_year2003=108 per 100,000 live births.
Palau observed maternal_mortality_year2004=106 per 100,000 live births.
Palau observed maternal_mortality_year2005=105 per 100,000 live births.
Palau observed maternal_mortality_year2006=105 per 100,000 live births.
Palau observed maternal_mortality_year2007=98 per 100,000 live births.
Palau observed maternal_mortality_year2008=99 per 100,000 live births.
Palau observed maternal_mortality_year2009=94 per 100,000 live births.
Palau observed maternal_mortality_year2010=96 per 100,000 live births.
Palau observed maternal_mortality_year2011=83 per 100,000 live births.
Palau observed maternal_mortality_year2012=84 per 100,000 live births.
Palau observed maternal_mortality_year2013=85 per 100,000 live births.
Palau observed maternal_mortality_year2014=78 per 100,000 live births.
Palau observed maternal_mortality_year2015=79 per 100,000 live births.
Palau observed maternal_mortality_year2016=80 per 100,000 live births.
Palau observed maternal_mortality_year2017=80 per 100,000 live births.
Palau observed maternal_mortality_year2018=82 per 100,000 live births.
Palau observed maternal_mortality_year2019=84 per 100,000 live births.
Palau observed maternal_mortality_year2020=117 per 100,000 live births.
Palau observed maternal_mortality_year2021=109 per 100,000 live births.
