Record: West Bank and Gaza (PSE), indicator=Maternal_Mortality_Ratio
West Bank and Gaza observed maternal_mortality_year2000=59 per 100,000 live births.
West Bank and Gaza observed maternal_mortality_year2001=60 per 100,000 live births.
West Bank and Gaza observed maternal_mortality_year2002=58 per 100,000 live births.
West Bank and Gaza observed maternal_mortality_year2003=56 per 100,000 live births.
West Bank and Gaza observed maternal_mortality_year2004=55 per 100,000 live births.
West Bank and Gaza observed maternal_mortality_year2005=52 per 100,000 live births.
West Bank and Gaza observed maternal_mortality_year2006=51 per 100,000 live births.
West Bank and Gaza observed maternal_mortality_year2007=49 per 100,000 live births.
West Bank and Gaza observed maternal_mortality_year2008=49 per 100,000 live births.
West Bank and Gaza observed maternal_mortality_year2009=48 per 100,000 live births.
West Bank and Gaza observed maternal_mortality_year2010=42 per 100,000 live births.
West Bank and Gaza observed maternal_mortality_year2011=39 per 100,000 live births.
West Bank and Gaza observed maternal_mortality_year2012=36 per 100,000 live births.
West Bank and Gaza observed maternal_mortality_year2013=32 per 100,000 live births.
West Bank and Gaza observed maternal_mortality_year2014=29 per 100,000 live births.
West Bank and Gaza observed maternal_mortality_year2015=26 per 100,000 live births.
West Bank and Gaza observed maternal_mortality_year2016=23 per 100,000 live births.
West Bank and Gaza observed maternal_mortality_year2017=21 per 100,000 live births.
West Bank and Gaza observed maternal_mortality_year2018=19 per 100,000 live births.
West Bank and Gaza observed maternal_mortality_year2019=18 per 100,000 live births.
West Bank and Gaza observed maternal_mortality_year2020=20 per 100,000 live births.
West Bank and Gaza observed maternal_mortality_year2021=29 per 100,000 live births.
