Record: Post-demographic dividend (PST), indicator=Maternal_Mortality_Ratio
Post-demographic dividend observed maternal_mortality_year2000=12 per 100,000 live births.
Post-demographic dividend observed maternal_mortality_year2001=12 per 100,000 live births.
Post-demographic dividend observed maternal_mortality_year2002=12 per 100,000 live births.
Post-demographic dividend observed maternal_mortality_year2003=11 per 100,000 live births.
Post-demographic dividend observed maternal_mortality_year2004=11 per 100,000 live births.
Post-demographic dividend observed maternal_mortality_year2005=11 per 100,000 live births.
Post-demographic dividend observed maternal_mortality_year2006=11 per 100,000 live births.
Post-demographic dividend observed maternal_mortality_year2007=11 per 100,000 live births.
Post-demographic dividend observed maternal_mortality_year2008=11 per 100,000 live births.
Post-demographic dividend observed maternal_mortality_year2009=11 per 100,000 live births.
Post-demographic dividend observed maternal_mortality_year2010=11 per 100,000 live births.
Post-demographic dividend observed maternal_mortality_year2011=11 per 100,000 live births.
Post-demographic dividend observed maternal_mortality_year2012=11 per 100,000 live births.
Post-demographic dividend observed maternal_mortality_year2013=11 per 100,000 live births.
Post-demographic dividend observed maternal_mortality_year2014=11 per 100,000 live births.
Post-demographic dividend observed maternal_mortality_year2015=11 per 100,000 live births.
Post-demographic dividend observed maternal_mortality_year2016=11 per 100,000 live births.
Post-demographic dividend observed maternal_mortality_year2017=11 per 100,000 live births.
Post-demographic dividend observed maternal_mortality_year2018=11 per 100,000 live births.
Post-demographic dividend observed maternal_mortality_year2019=11 per 100,000 live births.
Post-demographic dividend observed maternal_mortality_year2020=14 per 100,000 live births.
Post-demographic dividend observed maternal_mortality_year2021=18 per 100,000 live births.
