Record: South Asia (SAS), indicator=Maternal_Mortality_Ratio
South Asia observed maternal_mortality_year2000=415 per 100,000 live births.
South Asia observed maternal_mortality_year2001=396 per 100,000 live births.
South Asia observed maternal_mortality_year2002=376 per 100,000 live births.
South Asia observed maternal_mortality_year2003=357 per 100,000 live births.
South Asia observed maternal_mortality_year2004=338 per 100,000 live births.
South Asia observed maternal_mortality_year2005=318 per 100,000 live births.
South Asia observed maternal_mortality_year2006=296 per 100,000 live births.
South Asia observed maternal_mortality_year2007=278 per 100,000 live births.
South Asia observed maternal_mortality_year2008=259 per 100,000 live births.
South Asia observed maternal_mortality_year2009=243 per 100,000 live births.
South Asia observed maternal_mortality_year2010=229 per 100,000 live births.
South Asia observed maternal_mortality_year2011=215 per 100,000 live births.
South Asia observed maternal_mortality_year2012=203 per 100,000 live births.
South Asia observed maternal_mortality_year2013=192 per 100,000 live births.
South Asia observed maternal_mortality_year2014=182 per 100,000 live births.
South Asia observed maternal_mortality_year2015=173 per 100,000 live births.
South Asia observed maternal_mortality_year2016=163 per 100,000 live births.
South Asia observed maternal_mortality_year2017=155 per 100,000 live births.
South Asia observed maternal_mortality_year2018=148 per 100,000 live births.
South Asia observed maternal_mortality_year2019=142 per 100,000 live births.
South Asia observed maternal_mortality_year2020=145 per 100,000 live births.
South Asia observed maternal_mortality_year2021=194 per 100,000 live births.
