Record: Sudan (SDN), indicator=Maternal_Mortality_Ratio
Sudan observed maternal_mortality_year2000=645 per 100,000 live births.
Sudan observed maternal_mortality_year2001=616 per 100,000 live births.
Sudan observed maternal_mortality_year2002=588 per 100,000 live births.
Sudan observed maternal_mortality_year2003=593 per 100,000 live births.
Sudan observed maternal_mortality_year2004=536 per 100,000 live births.
Sudan observed maternal_mortality_year2005=506 per 100,000 live births.
Sudan observed maternal_mortality_year2006=485 per 100,000 live births.
Sudan observed maternal_mortality_year2007=445 per 100,000 live births.
Sudan observed maternal_mortality_year2008=426 per 100,000 live births.
Sudan observed maternal_mortality_year2009=382 per 100,000 live births.
Sudan observed maternal_mortality_year2010=370 per 100,000 live births.
Sudan observed maternal_mortality_year2011=357 per 100,000 live births.
Sudan observed maternal_mortality_year2012=340 per 100,000 live births.
Sudan observed maternal_mortality_year2013=327 per 100,000 live births.
Sudan observed maternal_mortality_year2014=309 per 100,000 live births.
Sudan observed maternal_mortality_year2015=298 per 100,000 live births.
Sudan observed maternal_mortality_year2016=288 per 100,000 live births.
Sudan observed maternal_mortality_year2017=277 per 100,000 live births.
Sudan observed maternal_mortality_year2018=268 per 100,000 live births.
Sudan observed maternal_mortality_year2019=262 per 100,000 live births.
Sudan observed maternal_mortality_year2020=273 per 100,000 live births.
Sudan observed maternal_mortality_year2021=305 per 100,000 live births.
