Record: Solomon Islands (SLB), indicator=Maternal_Mortality_Ratio
Solomon Islands observed maternal_mortality_year2000=166 per 100,000 live births.
Solomon Islands observed maternal_mortality_year2001=167 per 100,000 live births.
Solomon Islands observed maternal_mortality_year2002=168 per 100,000 live births.
Solomon Islands observed maternal_mortality_year2003=167 per 100,000 live births.
Solomon Islands observed maternal_mortality_year2004=164 per 100,000 live births.
Solomon Islands observed maternal_mortality_year2005=161 per 100,000 live births.
Solomon Islands observed maternal_mortality_year2006=159 per 100,000 live births.
Solomon Islands observed maternal_mortality_year2007=163 per 100,000 live births.
Solomon Islands observed maternal_mortality_year2008=153 per 100,000 live births.
Solomon Islands observed maternal_mortality_year2009=152 per 100,000 live births.
Solomon Islands observed maternal_mortality_year2010=148 per 100,000 live births.
Solomon Islands observed maternal_mortality_year2011=147 per 100,000 live births.
Solomon Islands observed maternal_mortality_year2012=146 per 100,000 live births.
Solomon Islands observed maternal_mortality_year2013=147 per 100,000 live births.
Solomon Islands observed maternal_mortality_year2014=147 per 100,000 live births.
Solomon Islands observed maternal_mortality_year2015=146 per 100,000 live births.
Solomon Islands observed maternal_mortality_year2016=143 per 100,000 live births.
Solomon Islands observed maternal_mortality_year2017=140 per 100,000 live births.
Solomon Islands observed maternal_mortality_year2018=136 per 100,000 live births.
Solomon Islands observed maternal_mortality_year2019=135 per 100,000 live births.
Solomon Islands observed maternal_mortality_year2020=131 per 100,000 live births.
Solomon Islands observed maternal_mortality_year2021=153 per 100,000 live births.
