Record: El Salvador (SLV), indicator=Maternal_Mortality_Ratio
El Salvador observed maternal_mortality_year2000=48 per 100,000 live births.
El Salvador observed maternal_mortality_year2001=45 per 100,000 live births.
El Salvador observed maternal_mortality_year2002=40 per 100,000 live births.
El Salvador observed maternal_mortality_year2003=38 per 100,000 live births.
El Salvador observed maternal_mortality_year2004=35 per 100,000 live births.
El Salvador observed maternal_mortality_year2005=34 per 100,000 live births.
El Salvador observed maternal_mortality_year2006=33 per 100,000 live births.
El Salvador observed maternal_mortality_year2007=33 per 100,000 live births.
El Salvador observed maternal_mortality_year2008=33 per 100,000 live births.
El Salvador observed maternal_mortality_year2009=35 per 100,000 live births.
El Salvador observed maternal_mortality_year2010=34 per 100,000 live births.
El Salvador observed maternal_mortality_year2011=35 per 100,000 live births.
El Salvador observed maternal_mortality_year2012=36 per 100,000 live births.
El Salvador observed maternal_mortality_year2013=39 per 100,000 live births.
El Salvador observed maternal_mortality_year2014=41 per 100,000 live births.
El Salvador observed maternal_mortality_year2015=43 per 100,000 live births.
El Salvador observed maternal_mortality_year2016=43 per 100,000 live births.
El Salvador observed maternal_mortality_year2017=44 per 100,000 live births.
El Salvador observed maternal_mortality_year2018=43 per 100,000 live births.
El Salvador observed maternal_mortality_year2019=40 per 100,000 live births.
El Salvador observed maternal_mortality_year2020=48 per 100,000 live births.
El Salvador observed maternal_mortality_year2021=58 per 100,000 live births.
