Record: Small states (SST), indicator=Maternal_Mortality_Ratio
Small states observed maternal_mortality_year2000=234 per 100,000 live births.
Small states observed maternal_mortality_year2001=222 per 100,000 live births.
Small states observed maternal_mortality_year2002=219 per 100,000 live births.
Small states observed maternal_mortality_year2003=222 per 100,000 live births.
Small states observed maternal_mortality_year2004=220 per 100,000 live births.
Small states observed maternal_mortality_year2005=217 per 100,000 live births.
Small states observed maternal_mortality_year2006=206 per 100,000 live births.
Small states observed maternal_mortality_year2007=212 per 100,000 live births.
Small states observed maternal_mortality_year2008=216 per 100,000 live births.
Small states observed maternal_mortality_year2009=217 per 100,000 live births.
Small states observed maternal_mortality_year2010=199 per 100,000 live births.
Small states observed maternal_mortality_year2011=194 per 100,000 live births.
Small states observed maternal_mortality_year2012=174 per 100,000 live births.
Small states observed maternal_mortality_year2013=159 per 100,000 live births.
Small states observed maternal_mortality_year2014=143 per 100,000 live births.
Small states observed maternal_mortality_year2015=131 per 100,000 live births.
Small states observed maternal_mortality_year2016=121 per 100,000 live births.
Small states observed maternal_mortality_year2017=112 per 100,000 live births.
Small states observed maternal_mortality_year2018=108 per 100,000 live births.
Small states observed maternal_mortality_year2019=102 per 100,000 live births.
Small states observed maternal_mortality_year2020=108 per 100,000 live births.
Small states observed maternal_mortality_year2021=138 per 100,000 live births.
