Record: East Asia & Pacific (IDA & IBRD countries) (TEA), indicator=Maternal_Mortality_Ratio
East Asia & Pacific (IDA & IBRD countries) observed maternal_mortality_year2000=125 per 100,000 live births.
East Asia & Pacific (IDA & IBRD countries) observed maternal_mortality_year2001=123 per 100,000 live births.
East Asia & Pacific (IDA & IBRD countries) observed maternal_mortality_year2002=118 per 100,000 live births.
East Asia & Pacific (IDA & IBRD countries) observed maternal_mortality_year2003=114 per 100,000 live births.
East Asia & Pacific (IDA & IBRD countries) observed maternal_mortality_year2004=112 per 100,000 live births.
East Asia & Pacific (IDA & IBRD countries) observed maternal_mortality_year2005=106 per 100,000 live births.
East Asia & Pacific (IDA & IBRD countries) observed maternal_mortality_year2006=104 per 100,000 live births.
East Asia & Pacific (IDA & IBRD countries) observed maternal_mortality_year2007=100 per 100,000 live births.
East Asia & Pacific (IDA & IBRD countries) observed maternal_mortality_year2008=97 per 100,000 live births.
East Asia & Pacific (IDA & IBRD countries) observed maternal_mortality_year2009=93 per 100,000 live births.
East Asia & Pacific (IDA & IBRD countries) observed maternal_mortality_year2010=90 per 100,000 live births.
East Asia & Pacific (IDA & IBRD countries) observed maternal_mortality_year2011=87 per 100,000 live births.
East Asia & Pacific (IDA & IBRD countries) observed maternal_mortality_year2012=82 per 100,000 live births.
East Asia & Pacific (IDA & IBRD countries) observed maternal_mortality_year2013=79 per 100,000 live births.
East Asia & Pacific (IDA & IBRD countries) observed maternal_mortality_year2014=74 per 100,000 live births.
East Asia & Pacific (IDA & IBRD countries) observed maternal_mortality_year2015=72 per 100,000 live births.
East Asia & Pacific (IDA & IBRD countries) observed maternal_mortality_year2016=68 per 100,000 live births.
East Asia & Pacific (IDA & IBRD countries) observed maternal_mortality_year2017=64 per 100,000 live births.
East Asia & Pacific (IDA & IBRD countries) observed maternal_mortality_year2018=66 per 100,000 live births.
East Asia & Pacific (IDA & IBRD countries) observed maternal_mortality_year2019=65 per 100,000 live births.
East Asia & Pacific (IDA & IBRD countries) observed maternal_mortality_year2020=74 per 100,000 live births.
East Asia & Pacific (IDA & IBRD countries) observed maternal_mortality_year2021=96 per 100,000 live births.
