Record: Togo (TGO), indicator=Maternal_Mortality_Ratio
Togo observed maternal_mortality_year2000=496 per 100,000 live births.
Togo observed maternal_mortality_year2001=478 per 100,000 live births.
Togo observed maternal_mortality_year2002=447 per 100,000 live births.
Togo observed maternal_mortality_year2003=431 per 100,000 live births.
Togo observed maternal_mortality_year2004=431 per 100,000 live births.
Togo observed maternal_mortality_year2005=434 per 100,000 live births.
Togo observed maternal_mortality_year2006=453 per 100,000 live births.
Togo observed maternal_mortality_year2007=448 per 100,000 live births.
Togo observed maternal_mortality_year2008=457 per 100,000 live births.
Togo observed maternal_mortality_year2009=471 per 100,000 live births.
Togo observed maternal_mortality_year2010=497 per 100,000 live births.
Togo observed maternal_mortality_year2011=501 per 100,000 live births.
Togo observed maternal_mortality_year2012=506 per 100,000 live births.
Togo observed maternal_mortality_year2013=500 per 100,000 live births.
Togo observed maternal_mortality_year2014=490 per 100,000 live births.
Togo observed maternal_mortality_year2015=470 per 100,000 live births.
Togo observed maternal_mortality_year2016=460 per 100,000 live births.
Togo observed maternal_mortality_year2017=443 per 100,000 live births.
Togo observed maternal_mortality_year2018=435 per 100,000 live births.
Togo observed maternal_mortality_year2019=416 per 100,000 live births.
Togo observed maternal_mortality_year2020=398 per 100,000 live births.
Togo observed maternal_mortality_year2021=397 per 100,000 live births.
