Record: Tajikistan (TJK), indicator=Maternal_Mortality_Ratio
Tajikistan observed maternal_mortality_year2000=58 per 100,000 live births.
Tajikistan observed maternal_mortality_year2001=58 per 100,000 live births.
Tajikistan observed maternal_mortality_year2002=48 per 100,000 live births.
Tajikistan observed maternal_mortality_year2003=39 per 100,000 live births.
Tajikistan observed maternal_mortality_year2004=36 per 100,000 live births.
Tajikistan observed maternal_mortality_year2005=36 per 100,000 live births.
Tajikistan observed maternal_mortality_year2006=35 per 100,000 live births.
Tajikistan observed maternal_mortality_year2007=30 per 100,000 live births.
Tajikistan observed maternal_mortality_year2008=29 per 100,000 live births.
Tajikistan observed maternal_mortality_year2009=29 per 100,000 live births.
Tajikistan observed maternal_mortality_year2010=26 per 100,000 live births.
Tajikistan observed maternal_mortality_year2011=25 per 100,000 live births.
Tajikistan observed maternal_mortality_year2012=23 per 100,000 live births.
Tajikistan observed maternal_mortality_year2013=21 per 100,000 live births.
Tajikistan observed maternal_mortality_year2014=21 per 100,000 live births.
Tajikistan observed maternal_mortality_year2015=20 per 100,000 live births.
Tajikistan observed maternal_mortality_year2016=20 per 100,000 live births.
Tajikistan observed maternal_mortality_year2017=17 per 100,000 live births.
Tajikistan observed maternal_mortality_year2018=16 per 100,000 live births.
Tajikistan observed maternal_mortality_year2019=16 per 100,000 live births.
Tajikistan observed maternal_mortality_year2020=25 per 100,000 live births.
Tajikistan observed maternal_mortality_year2021=25 per 100,000 live births.
