Record: Timor-Leste (TLS), indicator=Maternal_Mortality_Ratio
Timor-Leste observed maternal_mortality_year2000=796 per 100,000 live births.
Timor-Leste observed maternal_mortality_year2001=761 per 100,000 live births.
Timor-Leste observed maternal_mortality_year2002=724 per 100,000 live births.
Timor-Leste observed maternal_mortality_year2003=714 per 100,000 live births.
Timor-Leste observed maternal_mortality_year2004=683 per 100,000 live births.
Timor-Leste observed maternal_mortality_year2005=648 per 100,000 live births.
Timor-Leste observed maternal_mortality_year2006=600 per 100,000 live births.
Timor-Leste observed maternal_mortality_year2007=559 per 100,000 live births.
Timor-Leste observed maternal_mortality_year2008=518 per 100,000 live births.
Timor-Leste observed maternal_mortality_year2009=477 per 100,000 live births.
Timor-Leste observed maternal_mortality_year2010=439 per 100,000 live births.
Timor-Leste observed maternal_mortality_year2011=404 per 100,000 live births.
Timor-Leste observed maternal_mortality_year2012=374 per 100,000 live births.
Timor-Leste observed maternal_mortality_year2013=349 per 100,000 live births.
Timor-Leste observed maternal_mortality_year2014=327 per 100,000 live births.
Timor-Leste observed maternal_mortality_year2015=305 per 100,000 live births.
Timor-Leste observed maternal_mortality_year2016=287 per 100,000 live births.
Timor-Leste observed maternal_mortality_year2017=269 per 100,000 live births.
Timor-Leste observed maternal_mortality_year2018=251 per 100,000 live births.
Timor-Leste observed maternal_mortality_year2019=237 per 100,000 live births.
Timor-Leste observed maternal_mortality_year2020=257 per 100,000 live births.
Timor-Leste observed maternal_mortality_year2021=263 per 100,000 live births.
