Record: Tonga (TON), indicator=Maternal_Mortality_Ratio
Tonga observed maternal_mortality_year2000=100 per 100,000 live births.
Tonga observed maternal_mortality_year2001=98 per 100,000 live births.
Tonga observed maternal_mortality_year2002=98 per 100,000 live births.
Tonga observed maternal_mortality_year2003=95 per 100,000 live births.
Tonga observed maternal_mortality_year2004=92 per 100,000 live births.
Tonga observed maternal_mortality_year2005=92 per 100,000 live births.
Tonga observed maternal_mortality_year2006=89 per 100,000 live births.
Tonga observed maternal_mortality_year2007=88 per 100,000 live births.
Tonga observed maternal_mortality_year2008=88 per 100,000 live births.
Tonga observed maternal_mortality_year2009=91 per 100,000 live births.
Tonga observed maternal_mortality_year2010=85 per 100,000 live births.
Tonga observed maternal_mortality_year2011=84 per 100,000 live births.
Tonga observed maternal_mortality_year2012=83 per 100,000 live births.
Tonga observed maternal_mortality_year2013=80 per 100,000 live births.
Tonga observed maternal_mortality_year2014=80 per 100,000 live births.
Tonga observed maternal_mortality_year2015=79 per 100,000 live births.
Tonga observed maternal_mortality_year2016=78 per 100,000 live births.
Tonga observed maternal_mortality_year2017=77 per 100,000 live births.
Tonga observed maternal_mortality_year2018=74 per 100,000 live births.
Tonga observed maternal_mortality_year2019=73 per 100,000 live births.
Tonga observed maternal_mortality_year2020=74 per 100,000 live births.
Tonga observed maternal_mortality_year2021=76 per 100,000 live births.
