Record: Trinidad and Tobago (TTO), indicator=Maternal_Mortality_Ratio
Trinidad and Tobago observed maternal_mortality_year2000=76 per 100,000 live births.
Trinidad and Tobago observed maternal_mortality_year2001=72 per 100,000 live births.
Trinidad and Tobago observed maternal_mortality_year2002=69 per 100,000 live births.
Trinidad and Tobago observed maternal_mortality_year2003=67 per 100,000 live births.
Trinidad and Tobago observed maternal_mortality_year2004=63 per 100,000 live births.
Trinidad and Tobago observed maternal_mortality_year2005=60 per 100,000 live births.
Trinidad and Tobago observed maternal_mortality_year2006=58 per 100,000 live births.
Trinidad and Tobago observed maternal_mortality_year2007=57 per 100,000 live births.
Trinidad and Tobago observed maternal_mortality_year2008=55 per 100,000 live births.
Trinidad and Tobago observed maternal_mortality_year2009=54 per 100,000 live births.
Trinidad and Tobago observed maternal_mortality_year2010=54 per 100,000 live births.
Trinidad and Tobago observed maternal_mortality_year2011=53 per 100,000 live births.
Trinidad and Tobago observed maternal_mortality_year2012=51 per 100,000 live births.
Trinidad and Tobago observed maternal_mortality_year2013=50 per 100,000 live births.
Trinidad and Tobago observed maternal_mortality_year2014=50 per 100,000 live births.
Trinidad and Tobago observed maternal_mortality_year2015=50 per 100,000 live births.
Trinidad and Tobago observed maternal_mortality_year2016=51 per 100,000 live births.
Trinidad and Tobago observed maternal_mortality_year2017=51 per 100,000 live births.
Trinidad and Tobago observed maternal_mortality_year2018=53 per 100,000 live births.
Trinidad and Tobago observed maternal_mortality_year2019=53 per 100,000 live births.
Trinidad and Tobago observed maternal_mortality_year2020=35 per 100,000 live births.
Trinidad and Tobago observed maternal_mortality_year2021=54 per 100,000 live births.
