Record: Turkiye (TUR), indicator=Maternal_Mortality_Ratio
Turkiye observed maternal_mortality_year2000=32 per 100,000 live births.
Turkiye observed maternal_mortality_year2001=31 per 100,000 live births.
Turkiye observed maternal_mortality_year2002=30 per 100,000 live births.
Turkiye observed maternal_mortality_year2003=29 per 100,000 live births.
Turkiye observed maternal_mortality_year2004=28 per 100,000 live births.
Turkiye observed maternal_mortality_year2005=27 per 100,000 live births.
Turkiye observed maternal_mortality_year2006=26 per 100,000 live births.
Turkiye observed maternal_mortality_year2007=25 per 100,000 live births.
Turkiye observed maternal_mortality_year2008=24 per 100,000 live births.
Turkiye observed maternal_mortality_year2009=23 per 100,000 live births.
Turkiye observed maternal_mortality_year2010=23 per 100,000 live births.
Turkiye observed maternal_mortality_year2011=23 per 100,000 live births.
Turkiye observed maternal_mortality_year2012=21 per 100,000 live births.
Turkiye observed maternal_mortality_year2013=20 per 100,000 live births.
Turkiye observed maternal_mortality_year2014=20 per 100,000 live births.
Turkiye observed maternal_mortality_year2015=19 per 100,000 live births.
Turkiye observed maternal_mortality_year2016=19 per 100,000 live births.
Turkiye observed maternal_mortality_year2017=18 per 100,000 live births.
Turkiye observed maternal_mortality_year2018=17 per 100,000 live births.
Turkiye observed maternal_mortality_year2019=17 per 100,000 live births.
Turkiye observed maternal_mortality_year2020=19 per 100,000 live births.
Turkiye observed maternal_mortality_year2021=20 per 100,000 live births.
