Record: Tuvalu (TUV), indicator=Maternal_Mortality_Ratio
Tuvalu observed maternal_mortality_year2000=237 per 100,000 live births.
Tuvalu observed maternal_mortality_year2001=235 per 100,000 live births.
Tuvalu observed maternal_mortality_year2002=234 per 100,000 live births.
Tuvalu observed maternal_mortality_year2003=210 per 100,000 live births.
Tuvalu observed maternal_mortality_year2004=209 per 100,000 live births.
Tuvalu observed maternal_mortality_year2005=230 per 100,000 live births.
Tuvalu observed maternal_mortality_year2006=226 per 100,000 live births.
Tuvalu observed maternal_mortality_year2007=222 per 100,000 live births.
Tuvalu observed maternal_mortality_year2008=219 per 100,000 live births.
Tuvalu observed maternal_mortality_year2009=215 per 100,000 live births.
Tuvalu observed maternal_mortality_year2010=213 per 100,000 live births.
Tuvalu observed maternal_mortality_year2011=169 per 100,000 live births.
Tuvalu observed maternal_mortality_year2012=168 per 100,000 live births.
Tuvalu observed maternal_mortality_year2013=168 per 100,000 live births.
Tuvalu observed maternal_mortality_year2014=168 per 100,000 live births.
Tuvalu observed maternal_mortality_year2015=169 per 100,000 live births.
Tuvalu observed maternal_mortality_year2016=170 per 100,000 live births.
Tuvalu observed maternal_mortality_year2017=171 per 100,000 live births.
Tuvalu observed maternal_mortality_year2018=153 per 100,000 live births.
Tuvalu observed maternal_mortality_year2019=155 per 100,000 live births.
Tuvalu observed maternal_mortality_year2020=206 per 100,000 live births.
Tuvalu observed maternal_mortality_year2021=157 per 100,000 live births.
