Record: Vanuatu (VUT), indicator=Maternal_Mortality_Ratio
Vanuatu observed maternal_mortality_year2000=133 per 100,000 live births.
Vanuatu observed maternal_mortality_year2001=132 per 100,000 live births.
Vanuatu observed maternal_mortality_year2002=128 per 100,000 live births.
Vanuatu observed maternal_mortality_year2003=131 per 100,000 live births.
Vanuatu observed maternal_mortality_year2004=131 per 100,000 live births.
Vanuatu observed maternal_mortality_year2005=127 per 100,000 live births.
Vanuatu observed maternal_mortality_year2006=123 per 100,000 live births.
Vanuatu observed maternal_mortality_year2007=120 per 100,000 live births.
Vanuatu observed maternal_mortality_year2008=117 per 100,000 live births.
Vanuatu observed maternal_mortality_year2009=114 per 100,000 live births.
Vanuatu observed maternal_mortality_year2010=114 per 100,000 live births.
Vanuatu observed maternal_mortality_year2011=112 per 100,000 live births.
Vanuatu observed maternal_mortality_year2012=109 per 100,000 live births.
Vanuatu observed maternal_mortality_year2013=110 per 100,000 live births.
Vanuatu observed maternal_mortality_year2014=110 per 100,000 live births.
Vanuatu observed maternal_mortality_year2015=109 per 100,000 live births.
Vanuatu observed maternal_mortality_year2016=107 per 100,000 live births.
Vanuatu observed maternal_mortality_year2017=107 per 100,000 live births.
Vanuatu observed maternal_mortality_year2018=108 per 100,000 live births.
Vanuatu observed maternal_mortality_year2019=105 per 100,000 live births.
Vanuatu observed maternal_mortality_year2020=107 per 100,000 live births.
Vanuatu observed maternal_mortality_year2021=124 per 100,000 live births.
