Record: Bosnia and Herzegovina (BIH), indicator=Total_Population
Bosnia and Herzegovina observed population_year2000=4159771 persons.
Bosnia and Herzegovina observed population_year2001=4179438 persons.
Bosnia and Herzegovina observed population_year2002=4188002 persons.
Bosnia and Herzegovina observed population_year2003=4178523 persons.
Bosnia and Herzegovina observed population_year2004=4140987 persons.
Bosnia and Herzegovina observed population_year2005=4096493 persons.
Bosnia and Herzegovina observed population_year2006=4063272 persons.
Bosnia and Herzegovina observed population_year2007=4013424 persons.
Bosnia and Herzegovina observed population_year2008=3947544 persons.
Bosnia and Herzegovina observed population_year2009=3879794 persons.
Bosnia and Herzegovina observed population_year2010=3811472 persons.
Bosnia and Herzegovina observed population_year2011=3741798 persons.
Bosnia and Herzegovina observed population_year2012=3670113 persons.
Bosnia and Herzegovina observed population_year2013=3610859 persons.
Bosnia and Herzegovina observed population_year2014=3564829 persons.
Bosnia and Herzegovina observed population_year2015=3518541 persons.
Bosnia and Herzegovina observed population_year2016=3473003 persons.
Bosnia and Herzegovina observed population_year2017=3428682 persons.
Bosnia and Herzegovina observed population_year2018=3387000 persons.
Bosnia and Herzegovina observed population_year2019=3345533 persons.
Bosnia and Herzegovina observed population_year2020=3299349 persons.
Bosnia and Herzegovina observed population_year2021=3244907 persons.
Bosnia and Herzegovina observed population_year2022=3204802 persons.
Bosnia and Herzegovina observed population_year2023=3185073 persons.
