Record: Bermuda (BMU), indicator=Total_Population
Bermuda observed population_year2000=61550 persons.
Bermuda observed population_year2001=61867 persons.
Bermuda observed population_year2002=62142 persons.
Bermuda observed population_year2003=62386 persons.
Bermuda observed population_year2004=62555 persons.
Bermuda observed population_year2005=62711 persons.
Bermuda observed population_year2006=62834 persons.
Bermuda observed population_year2007=63010 persons.
Bermuda observed population_year2008=63300 persons.
Bermuda observed population_year2009=63565 persons.
Bermuda observed population_year2010=63725 persons.
Bermuda observed population_year2011=63733 persons.
Bermuda observed population_year2012=63646 persons.
Bermuda observed population_year2013=63574 persons.
Bermuda observed population_year2014=63529 persons.
Bermuda observed population_year2015=63464 persons.
Bermuda observed population_year2016=63449 persons.
Bermuda observed population_year2017=63578 persons.
Bermuda observed population_year2018=63831 persons.
Bermuda observed population_year2019=64107 persons.
Bermuda observed population_year2020=64382 persons.
Bermuda observed population_year2021=64648 persons.
Bermuda observed population_year2022=64749 persons.
Bermuda observed population_year2023=64698 persons.
