Record: Channel Islands (CHI), indicator=Total_Population
Channel Islands observed population_year2000=148110 persons.
Channel Islands observed population_year2001=148850 persons.
Channel Islands observed population_year2002=149881 persons.
Channel Islands observed population_year2003=150960 persons.
Channel Islands observed population_year2004=152039 persons.
Channel Islands observed population_year2005=153126 persons.
Channel Islands observed population_year2006=154214 persons.
Channel Islands observed population_year2007=155309 persons.
Channel Islands observed population_year2008=156408 persons.
Channel Islands observed population_year2009=157511 persons.
Channel Islands observed population_year2010=158621 persons.
Channel Islands observed population_year2011=159706 persons.
Channel Islands observed population_year2012=160767 persons.
Channel Islands observed population_year2013=161777 persons.
Channel Islands observed population_year2014=162726 persons.
Channel Islands observed population_year2015=163454 persons.
Channel Islands observed population_year2016=163883 persons.
Channel Islands observed population_year2017=164319 persons.
Channel Islands observed population_year2018=164949 persons.
Channel Islands observed population_year2019=165639 persons.
Channel Islands observed population_year2020=166235 persons.
Channel Islands observed population_year2021=166741 persons.
Channel Islands observed population_year2022=167215 persons.
Channel Islands observed population_year2023=167691 persons.
