Record: Colombia (COL), indicator=Total_Population
Colombia observed population_year2000=39089934 persons.
Colombia observed population_year2001=39709262 persons.
Colombia observed population_year2002=40324680 persons.
Colombia observed population_year2003=40937429 persons.
Colombia observed population_year2004=41543171 persons.
Colombia observed population_year2005=42128977 persons.
Colombia observed population_year2006=42691084 persons.
Colombia observed population_year2007=43235374 persons.
Colombia observed population_year2008=43758808 persons.
Colombia observed population_year2009=44271541 persons.
Colombia observed population_year2010=44777319 persons.
Colombia observed population_year2011=45259614 persons.
Colombia observed population_year2012=45715810 persons.
Colombia observed population_year2013=46151584 persons.
Colombia observed population_year2014=46565429 persons.
Colombia observed population_year2015=46969940 persons.
Colombia observed population_year2016=47437512 persons.
Colombia observed population_year2017=48131078 persons.
Colombia observed population_year2018=49024465 persons.
Colombia observed population_year2019=49907985 persons.
Colombia observed population_year2020=50629997 persons.
Colombia observed population_year2021=51188173 persons.
Colombia observed population_year2022=51737944 persons.
Colombia observed population_year2023=52321152 persons.
