Record: Germany (DEU), indicator=Total_Population
Germany observed population_year2000=82211508 persons.
Germany observed population_year2001=82349925 persons.
Germany observed population_year2002=82488495 persons.
Germany observed population_year2003=82534176 persons.
Germany observed population_year2004=82516260 persons.
Germany observed population_year2005=82469422 persons.
Germany observed population_year2006=82376451 persons.
Germany observed population_year2007=82266372 persons.
Germany observed population_year2008=82110097 persons.
Germany observed population_year2009=81902307 persons.
Germany observed population_year2010=81776930 persons.
Germany observed population_year2011=80274983 persons.
Germany observed population_year2012=80425823 persons.
Germany observed population_year2013=80645605 persons.
Germany observed population_year2014=80982500 persons.
Germany observed population_year2015=81686611 persons.
Germany observed population_year2016=82348669 persons.
Germany observed population_year2017=82657002 persons.
Germany observed population_year2018=82905782 persons.
Germany observed population_year2019=83092962 persons.
Germany observed population_year2020=83160871 persons.
Germany observed population_year2021=83196078 persons.
Germany observed population_year2022=83177813 persons.
Germany observed population_year2023=83287273 persons.
