Record: East Asia & Pacific (EAS), indicator=Total_Population
East Asia & Pacific observed population_year2000=2050149617 persons.
East Asia & Pacific observed population_year2001=2068682053 persons.
East Asia & Pacific observed population_year2002=2086144389 persons.
East Asia & Pacific observed population_year2003=2102761941 persons.
East Asia & Pacific observed population_year2004=2118747885 persons.
East Asia & Pacific observed population_year2005=2134573057 persons.
East Asia & Pacific observed population_year2006=2150688938 persons.
East Asia & Pacific observed population_year2007=2167046538 persons.
East Asia & Pacific observed population_year2008=2183472438 persons.
East Asia & Pacific observed population_year2009=2199148703 persons.
East Asia & Pacific observed population_year2010=2214613815 persons.
East Asia & Pacific observed population_year2011=2230826576 persons.
East Asia & Pacific observed population_year2012=2249081393 persons.
East Asia & Pacific observed population_year2013=2267072102 persons.
East Asia & Pacific observed population_year2014=2284385542 persons.
East Asia & Pacific observed population_year2015=2300844269 persons.
East Asia & Pacific observed population_year2016=2317076058 persons.
East Asia & Pacific observed population_year2017=2333475520 persons.
East Asia & Pacific observed population_year2018=2347576325 persons.
East Asia & Pacific observed population_year2019=2359762190 persons.
East Asia & Pacific observed population_year2020=2369420882 persons.
East Asia & Pacific observed population_year2021=2375117716 persons.
East Asia & Pacific observed population_year2022=2379617118 persons.
East Asia & Pacific observed population_year2023=2384441485 persons.
