Record: Estonia (EST), indicator=Total_Population
Estonia observed population_year2000=1396985 persons.
Estonia observed population_year2001=1388115 persons.
Estonia observed population_year2002=1379350 persons.
Estonia observed population_year2003=1370720 persons.
Estonia observed population_year2004=1362550 persons.
Estonia observed population_year2005=1354775 persons.
Estonia observed population_year2006=1346810 persons.
Estonia observed population_year2007=1340680 persons.
Estonia observed population_year2008=1337090 persons.
Estonia observed population_year2009=1334515 persons.
Estonia observed population_year2010=1331475 persons.
Estonia observed population_year2011=1327439 persons.
Estonia observed population_year2012=1322696 persons.
Estonia observed population_year2013=1317997 persons.
Estonia observed population_year2014=1314545 persons.
Estonia observed population_year2015=1315407 persons.
Estonia observed population_year2016=1315790 persons.
Estonia observed population_year2017=1317384 persons.
Estonia observed population_year2018=1321977 persons.
Estonia observed population_year2019=1326898 persons.
Estonia observed population_year2020=1329522 persons.
Estonia observed population_year2021=1330932 persons.
Estonia observed population_year2022=1348840 persons.
Estonia observed population_year2023=1370286 persons.
