Record: Georgia (GEO), indicator=Total_Population
Georgia observed population_year2000=4077131 persons.
Georgia observed population_year2001=4014373 persons.
Georgia observed population_year2002=3978515 persons.
Georgia observed population_year2003=3951736 persons.
Georgia observed population_year2004=3927340 persons.
Georgia observed population_year2005=3902469 persons.
Georgia observed population_year2006=3880347 persons.
Georgia observed population_year2007=3860158 persons.
Georgia observed population_year2008=3848449 persons.
Georgia observed population_year2009=3814419 persons.
Georgia observed population_year2010=3786695 persons.
Georgia observed population_year2011=3756441 persons.
Georgia observed population_year2012=3728874 persons.
Georgia observed population_year2013=3717668 persons.
Georgia observed population_year2014=3719414 persons.
Georgia observed population_year2015=3725276 persons.
Georgia observed population_year2016=3727505 persons.
Georgia observed population_year2017=3728004 persons.
Georgia observed population_year2018=3726549 persons.
Georgia observed population_year2019=3720161 persons.
Georgia observed population_year2020=3722716 persons.
Georgia observed population_year2021=3708610 persons.
Georgia observed population_year2022=3712502 persons.
Georgia observed population_year2023=3715483 persons.
