Record: Ghana (GHA), indicator=Total_Population
Ghana observed population_year2000=19637087 persons.
Ghana observed population_year2001=20167069 persons.
Ghana observed population_year2002=20729388 persons.
Ghana observed population_year2003=21296705 persons.
Ghana observed population_year2004=21868298 persons.
Ghana observed population_year2005=22449438 persons.
Ghana observed population_year2006=23040702 persons.
Ghana observed population_year2007=23642279 persons.
Ghana observed population_year2008=24249946 persons.
Ghana observed population_year2009=24862664 persons.
Ghana observed population_year2010=25474995 persons.
Ghana observed population_year2011=26095088 persons.
Ghana observed population_year2012=26734268 persons.
Ghana observed population_year2013=27386193 persons.
Ghana observed population_year2014=28041592 persons.
Ghana observed population_year2015=28696068 persons.
Ghana observed population_year2016=29356742 persons.
Ghana observed population_year2017=30008354 persons.
Ghana observed population_year2018=30637585 persons.
Ghana observed population_year2019=31258945 persons.
Ghana observed population_year2020=31887809 persons.
Ghana observed population_year2021=32518665 persons.
Ghana observed population_year2022=33149152 persons.
Ghana observed population_year2023=33787914 persons.
