Record: Guinea (GIN), indicator=Total_Population
Guinea observed population_year2000=8428832 persons.
Guinea observed population_year2001=8539960 persons.
Guinea observed population_year2002=8674066 persons.
Guinea observed population_year2003=8870781 persons.
Guinea observed population_year2004=9062726 persons.
Guinea observed population_year2005=9245844 persons.
Guinea observed population_year2006=9441171 persons.
Guinea observed population_year2007=9662281 persons.
Guinea observed population_year2008=9898870 persons.
Guinea observed population_year2009=10143534 persons.
Guinea observed population_year2010=10396086 persons.
Guinea observed population_year2011=10656810 persons.
Guinea observed population_year2012=10921581 persons.
Guinea observed population_year2013=11191873 persons.
Guinea observed population_year2014=11472924 persons.
Guinea observed population_year2015=11767070 persons.
Guinea observed population_year2016=12073030 persons.
Guinea observed population_year2017=12385659 persons.
Guinea observed population_year2018=12704774 persons.
Guinea observed population_year2019=13034346 persons.
Guinea observed population_year2020=13371183 persons.
Guinea observed population_year2021=13710513 persons.
Guinea observed population_year2022=14055137 persons.
Guinea observed population_year2023=14405468 persons.
