Record: Equatorial Guinea (GNQ), indicator=Total_Population
Equatorial Guinea observed population_year2000=703279 persons.
Equatorial Guinea observed population_year2001=749836 persons.
Equatorial Guinea observed population_year2002=797957 persons.
Equatorial Guinea observed population_year2003=847862 persons.
Equatorial Guinea observed population_year2004=899917 persons.
Equatorial Guinea observed population_year2005=947367 persons.
Equatorial Guinea observed population_year2006=990343 persons.
Equatorial Guinea observed population_year2007=1036044 persons.
Equatorial Guinea observed population_year2008=1084530 persons.
Equatorial Guinea observed population_year2009=1135673 persons.
Equatorial Guinea observed population_year2010=1189085 persons.
Equatorial Guinea observed population_year2011=1241835 persons.
Equatorial Guinea observed population_year2012=1293483 persons.
Equatorial Guinea observed population_year2013=1346218 persons.
Equatorial Guinea observed population_year2014=1399828 persons.
Equatorial Guinea observed population_year2015=1453923 persons.
Equatorial Guinea observed population_year2016=1508186 persons.
Equatorial Guinea observed population_year2017=1562396 persons.
Equatorial Guinea observed population_year2018=1616422 persons.
Equatorial Guinea observed population_year2019=1670177 persons.
Equatorial Guinea observed population_year2020=1716468 persons.
Equatorial Guinea observed population_year2021=1758786 persons.
Equatorial Guinea observed population_year2022=1803545 persons.
Equatorial Guinea observed population_year2023=1847549 persons.
