Record: Guatemala (GTM), indicator=Total_Population
Guatemala observed population_year2000=11697592 persons.
Guatemala observed population_year2001=11969422 persons.
Guatemala observed population_year2002=12246915 persons.
Guatemala observed population_year2003=12525842 persons.
Guatemala observed population_year2004=12807402 persons.
Guatemala observed population_year2005=13087629 persons.
Guatemala observed population_year2006=13367459 persons.
Guatemala observed population_year2007=13652040 persons.
Guatemala observed population_year2008=13935174 persons.
Guatemala observed population_year2009=14215611 persons.
Guatemala observed population_year2010=14500112 persons.
Guatemala observed population_year2011=14792126 persons.
Guatemala observed population_year2012=15089647 persons.
Guatemala observed population_year2013=15387337 persons.
Guatemala observed population_year2014=15681725 persons.
Guatemala observed population_year2015=15971743 persons.
Guatemala observed population_year2016=16268760 persons.
Guatemala observed population_year2017=16567357 persons.
Guatemala observed population_year2018=16845685 persons.
Guatemala observed population_year2019=17103803 persons.
Guatemala observed population_year2020=17357325 persons.
Guatemala observed population_year2021=17598650 persons.
Guatemala observed population_year2022=17847877 persons.
Guatemala observed population_year2023=18124838 persons.
