Record: Heavily indebted poor countries (HIPC) (HPC), indicator=Total_Population
Heavily indebted poor countries (HIPC) observed population_year2000=481984327 persons.
Heavily indebted poor countries (HIPC) observed population_year2001=495197350 persons.
Heavily indebted poor countries (HIPC) observed population_year2002=509679981 persons.
Heavily indebted poor countries (HIPC) observed population_year2003=524773987 persons.
Heavily indebted poor countries (HIPC) observed population_year2004=539803501 persons.
Heavily indebted poor countries (HIPC) observed population_year2005=555358929 persons.
Heavily indebted poor countries (HIPC) observed population_year2006=571454590 persons.
Heavily indebted poor countries (HIPC) observed population_year2007=587432384 persons.
Heavily indebted poor countries (HIPC) observed population_year2008=604007702 persons.
Heavily indebted poor countries (HIPC) observed population_year2009=621337653 persons.
Heavily indebted poor countries (HIPC) observed population_year2010=638796398 persons.
Heavily indebted poor countries (HIPC) observed population_year2011=656783491 persons.
Heavily indebted poor countries (HIPC) observed population_year2012=675397557 persons.
Heavily indebted poor countries (HIPC) observed population_year2013=694622934 persons.
Heavily indebted poor countries (HIPC) observed population_year2014=714769441 persons.
Heavily indebted poor countries (HIPC) observed population_year2015=735429414 persons.
Heavily indebted poor countries (HIPC) observed population_year2016=756895035 persons.
Heavily indebted poor countries (HIPC) observed population_year2017=779389964 persons.
Heavily indebted poor countries (HIPC) observed population_year2018=802020674 persons.
Heavily indebted poor countries (HIPC) observed population_year2019=824649053 persons.
Heavily indebted poor countries (HIPC) observed population_year2020=847743308 persons.
Heavily indebted poor countries (HIPC) observed population_year2021=870930036 persons.
Heavily indebted poor countries (HIPC) observed population_year2022=893906294 persons.
Heavily indebted poor countries (HIPC) observed population_year2023=917304254 persons.
