Record: Hungary (HUN), indicator=Total_Population
Hungary observed population_year2000=10210971 persons.
Hungary observed population_year2001=10187576 persons.
Hungary observed population_year2002=10158608 persons.
Hungary observed population_year2003=10129552 persons.
Hungary observed population_year2004=10107146 persons.
Hungary observed population_year2005=10087065 persons.
Hungary observed population_year2006=10071370 persons.
Hungary observed population_year2007=10055780 persons.
Hungary observed population_year2008=10038188 persons.
Hungary observed population_year2009=10022650 persons.
Hungary observed population_year2010=10000023 persons.
Hungary observed population_year2011=9971727 persons.
Hungary observed population_year2012=9920362 persons.
Hungary observed population_year2013=9872734 persons.
Hungary observed population_year2014=9833038 persons.
Hungary observed population_year2015=9797755 persons.
Hungary observed population_year2016=9759755 persons.
Hungary observed population_year2017=9726756 persons.
Hungary observed population_year2018=9706964 persons.
Hungary observed population_year2019=9694824 persons.
Hungary observed population_year2020=9670419 persons.
Hungary observed population_year2021=9630932 persons.
Hungary observed population_year2022=9605074 persons.
Hungary observed population_year2023=9592186 persons.
