Record: Latin America & Caribbean (excluding high income) (LAC), indicator=Total_Population
Latin America & Caribbean (excluding high income) observed population_year2000=462953688 persons.
Latin America & Caribbean (excluding high income) observed population_year2001=469463143 persons.
Latin America & Caribbean (excluding high income) observed population_year2002=475799008 persons.
Latin America & Caribbean (excluding high income) observed population_year2003=481977727 persons.
Latin America & Caribbean (excluding high income) observed population_year2004=488032486 persons.
Latin America & Caribbean (excluding high income) observed population_year2005=494006571 persons.
Latin America & Caribbean (excluding high income) observed population_year2006=499910627 persons.
Latin America & Caribbean (excluding high income) observed population_year2007=505793340 persons.
Latin America & Caribbean (excluding high income) observed population_year2008=511659365 persons.
Latin America & Caribbean (excluding high income) observed population_year2009=517459947 persons.
Latin America & Caribbean (excluding high income) observed population_year2010=523147480 persons.
Latin America & Caribbean (excluding high income) observed population_year2011=528822706 persons.
Latin America & Caribbean (excluding high income) observed population_year2012=534503260 persons.
Latin America & Caribbean (excluding high income) observed population_year2013=540118712 persons.
Latin America & Caribbean (excluding high income) observed population_year2014=545661592 persons.
Latin America & Caribbean (excluding high income) observed population_year2015=551075145 persons.
Latin America & Caribbean (excluding high income) observed population_year2016=556440282 persons.
Latin America & Caribbean (excluding high income) observed population_year2017=561957179 persons.
Latin America & Caribbean (excluding high income) observed population_year2018=567711159 persons.
Latin America & Caribbean (excluding high income) observed population_year2019=573311679 persons.
Latin America & Caribbean (excluding high income) observed population_year2020=578091505 persons.
Latin America & Caribbean (excluding high income) observed population_year2021=581884231 persons.
Latin America & Caribbean (excluding high income) observed population_year2022=585648822 persons.
Latin America & Caribbean (excluding high income) observed population_year2023=589889543 persons.
