Record: Liberia (LBR), indicator=Total_Population
Liberia observed population_year2000=2928117 persons.
Liberia observed population_year2001=3015338 persons.
Liberia observed population_year2002=3094782 persons.
Liberia observed population_year2003=3119532 persons.
Liberia observed population_year2004=3156892 persons.
Liberia observed population_year2005=3301015 persons.
Liberia observed population_year2006=3490787 persons.
Liberia observed population_year2007=3669050 persons.
Liberia observed population_year2008=3821003 persons.
Liberia observed population_year2009=3943028 persons.
Liberia observed population_year2010=4058890 persons.
Liberia observed population_year2011=4221178 persons.
Liberia observed population_year2012=4373043 persons.
Liberia observed population_year2013=4470239 persons.
Liberia observed population_year2014=4564293 persons.
Liberia observed population_year2015=4659431 persons.
Liberia observed population_year2016=4755608 persons.
Liberia observed population_year2017=4848925 persons.
Liberia observed population_year2018=4944726 persons.
Liberia observed population_year2019=5043721 persons.
Liberia observed population_year2020=5149463 persons.
Liberia observed population_year2021=5259323 persons.
Liberia observed population_year2022=5373294 persons.
Liberia observed population_year2023=5493031 persons.
