Record: Least developed countries: UN classification (LDC), indicator=Total_Population
Least developed countries: UN classification observed population_year2000=673630102 persons.
Least developed countries: UN classification observed population_year2001=689878805 persons.
Least developed countries: UN classification observed population_year2002=707266809 persons.
Least developed countries: UN classification observed population_year2003=725111768 persons.
Least developed countries: UN classification observed population_year2004=742717957 persons.
Least developed countries: UN classification observed population_year2005=760741611 persons.
Least developed countries: UN classification observed population_year2006=779230030 persons.
Least developed countries: UN classification observed population_year2007=797516000 persons.
Least developed countries: UN classification observed population_year2008=816268129 persons.
Least developed countries: UN classification observed population_year2009=835687108 persons.
Least developed countries: UN classification observed population_year2010=855348118 persons.
Least developed countries: UN classification observed population_year2011=875685078 persons.
Least developed countries: UN classification observed population_year2012=896684951 persons.
Least developed countries: UN classification observed population_year2013=918269633 persons.
Least developed countries: UN classification observed population_year2014=940284138 persons.
Least developed countries: UN classification observed population_year2015=962508256 persons.
Least developed countries: UN classification observed population_year2016=985414939 persons.
Least developed countries: UN classification observed population_year2017=1008993468 persons.
Least developed countries: UN classification observed population_year2018=1033110314 persons.
Least developed countries: UN classification observed population_year2019=1058013514 persons.
Least developed countries: UN classification observed population_year2020=1083636132 persons.
Least developed countries: UN classification observed population_year2021=1109175268 persons.
Least developed countries: UN classification observed population_year2022=1134585604 persons.
Least developed countries: UN classification observed population_year2023=1160824674 persons.
