Record: Sri Lanka (LKA), indicator=Total_Population
Sri Lanka observed population_year2000=19293054 persons.
Sri Lanka observed population_year2001=19600362 persons.
Sri Lanka observed population_year2002=19805752 persons.
Sri Lanka observed population_year2003=19951521 persons.
Sri Lanka observed population_year2004=20087605 persons.
Sri Lanka observed population_year2005=20216524 persons.
Sri Lanka observed population_year2006=20352411 persons.
Sri Lanka observed population_year2007=20492545 persons.
Sri Lanka observed population_year2008=20629378 persons.
Sri Lanka observed population_year2009=20756435 persons.
Sri Lanka observed population_year2010=20879089 persons.
Sri Lanka observed population_year2011=21009048 persons.
Sri Lanka observed population_year2012=21169458 persons.
Sri Lanka observed population_year2013=20585000 persons.
Sri Lanka observed population_year2014=20778000 persons.
Sri Lanka observed population_year2015=20970000 persons.
Sri Lanka observed population_year2016=21209000 persons.
Sri Lanka observed population_year2017=21453000 persons.
Sri Lanka observed population_year2018=21670000 persons.
Sri Lanka observed population_year2019=21803000 persons.
Sri Lanka observed population_year2020=21919000 persons.
Sri Lanka observed population_year2021=22156000 persons.
Sri Lanka observed population_year2022=22181000 persons.
Sri Lanka observed population_year2023=22037000 persons.
