Record: Luxembourg (LUX), indicator=Total_Population
Luxembourg observed population_year2000=436300 persons.
Luxembourg observed population_year2001=441525 persons.
Luxembourg observed population_year2002=446175 persons.
Luxembourg observed population_year2003=451630 persons.
Luxembourg observed population_year2004=458095 persons.
Luxembourg observed population_year2005=465158 persons.
Luxembourg observed population_year2006=472637 persons.
Luxembourg observed population_year2007=479993 persons.
Luxembourg observed population_year2008=488650 persons.
Luxembourg observed population_year2009=497783 persons.
Luxembourg observed population_year2010=506953 persons.
Luxembourg observed population_year2011=518347 persons.
Luxembourg observed population_year2012=530946 persons.
Luxembourg observed population_year2013=543360 persons.
Luxembourg observed population_year2014=556319 persons.
Luxembourg observed population_year2015=569604 persons.
Luxembourg observed population_year2016=582014 persons.
Luxembourg observed population_year2017=596336 persons.
Luxembourg observed population_year2018=607950 persons.
Luxembourg observed population_year2019=620001 persons.
Luxembourg observed population_year2020=630419 persons.
Luxembourg observed population_year2021=640064 persons.
Luxembourg observed population_year2022=653103 persons.
Luxembourg observed population_year2023=666430 persons.
