Record: St. Martin (French part) (MAF), indicator=Total_Population
St. Martin (French part) observed population_year2000=29996 persons.
St. Martin (French part) observed population_year2001=30803 persons.
St. Martin (French part) observed population_year2002=31604 persons.
St. Martin (French part) observed population_year2003=32395 persons.
St. Martin (French part) observed population_year2004=33171 persons.
St. Martin (French part) observed population_year2005=33928 persons.
St. Martin (French part) observed population_year2006=34658 persons.
St. Martin (French part) observed population_year2007=35337 persons.
St. Martin (French part) observed population_year2008=35958 persons.
St. Martin (French part) observed population_year2009=36502 persons.
St. Martin (French part) observed population_year2010=36856 persons.
St. Martin (French part) observed population_year2011=37069 persons.
St. Martin (French part) observed population_year2012=37276 persons.
St. Martin (French part) observed population_year2013=37419 persons.
St. Martin (French part) observed population_year2014=37450 persons.
St. Martin (French part) observed population_year2015=37369 persons.
St. Martin (French part) observed population_year2016=37175 persons.
St. Martin (French part) observed population_year2017=36837 persons.
St. Martin (French part) observed population_year2018=36012 persons.
St. Martin (French part) observed population_year2019=34267 persons.
St. Martin (French part) observed population_year2020=31786 persons.
St. Martin (French part) observed population_year2021=29961 persons.
St. Martin (French part) observed population_year2022=28870 persons.
St. Martin (French part) observed population_year2023=27515 persons.
