Record: North America (NAC), indicator=Total_Population
North America observed population_year2000=312909691 persons.
North America observed population_year2001=316051677 persons.
North America observed population_year2002=319046534 persons.
North America observed population_year2003=321812780 persons.
North America observed population_year2004=324806660 persons.
North America observed population_year2005=327822042 persons.
North America observed population_year2006=331013939 persons.
North America observed population_year2007=334183103 persons.
North America observed population_year2008=337404564 persons.
North America observed population_year2009=340465163 persons.
North America observed population_year2010=343447854 persons.
North America observed population_year2011=346242415 persons.
North America observed population_year2012=349116140 persons.
North America observed population_year2013=351870848 persons.
North America observed population_year2014=354755155 persons.
North America observed population_year2015=357583083 persons.
North America observed population_year2016=360527592 persons.
North America observed population_year2017=363217262 persons.
North America observed population_year2018=365666028 persons.
North America observed population_year2019=367908829 persons.
North America observed population_year2020=369670740 persons.
North America observed population_year2021=370404272 persons.
North America observed population_year2022=373018004 persons.
North America observed population_year2023=376954413 persons.
