Record: Namibia (NAM), indicator=Total_Population
Namibia observed population_year2000=1818647 persons.
Namibia observed population_year2001=1857048 persons.
Namibia observed population_year2002=1889970 persons.
Namibia observed population_year2003=1917464 persons.
Namibia observed population_year2004=1942082 persons.
Namibia observed population_year2005=1966582 persons.
Namibia observed population_year2006=1991888 persons.
Namibia observed population_year2007=2018600 persons.
Namibia observed population_year2008=2047056 persons.
Namibia observed population_year2009=2077394 persons.
Namibia observed population_year2010=2109811 persons.
Namibia observed population_year2011=2146325 persons.
Namibia observed population_year2012=2194654 persons.
Namibia observed population_year2013=2252508 persons.
Namibia observed population_year2014=2312139 persons.
Namibia observed population_year2015=2374300 persons.
Namibia observed population_year2016=2439213 persons.
Namibia observed population_year2017=2506853 persons.
Namibia observed population_year2018=2577327 persons.
Namibia observed population_year2019=2650494 persons.
Namibia observed population_year2020=2728762 persons.
Namibia observed population_year2021=2810548 persons.
Namibia observed population_year2022=2889662 persons.
Namibia observed population_year2023=2963095 persons.
