Record: Niger (NER), indicator=Total_Population
Niger observed population_year2000=11509630 persons.
Niger observed population_year2001=11920647 persons.
Niger observed population_year2002=12349144 persons.
Niger observed population_year2003=12796984 persons.
Niger observed population_year2004=13265836 persons.
Niger observed population_year2005=13756192 persons.
Niger observed population_year2006=14268581 persons.
Niger observed population_year2007=14803610 persons.
Niger observed population_year2008=15361915 persons.
Niger observed population_year2009=15943675 persons.
Niger observed population_year2010=16548835 persons.
Niger observed population_year2011=17176283 persons.
Niger observed population_year2012=17836769 persons.
Niger observed population_year2013=18519898 persons.
Niger observed population_year2014=19215909 persons.
Niger observed population_year2015=19939498 persons.
Niger observed population_year2016=20685753 persons.
Niger observed population_year2017=21435446 persons.
Niger observed population_year2018=22188069 persons.
Niger observed population_year2019=22947757 persons.
Niger observed population_year2020=23717613 persons.
Niger observed population_year2021=24502140 persons.
Niger observed population_year2022=25311973 persons.
Niger observed population_year2023=26159867 persons.
