Record: New Zealand (NZL), indicator=Total_Population
New Zealand observed population_year2000=3857700 persons.
New Zealand observed population_year2001=3880500 persons.
New Zealand observed population_year2002=3948500 persons.
New Zealand observed population_year2003=4027200 persons.
New Zealand observed population_year2004=4087500 persons.
New Zealand observed population_year2005=4133900 persons.
New Zealand observed population_year2006=4184600 persons.
New Zealand observed population_year2007=4223800 persons.
New Zealand observed population_year2008=4259800 persons.
New Zealand observed population_year2009=4302600 persons.
New Zealand observed population_year2010=4350700 persons.
New Zealand observed population_year2011=4384000 persons.
New Zealand observed population_year2012=4408100 persons.
New Zealand observed population_year2013=4442100 persons.
New Zealand observed population_year2014=4516500 persons.
New Zealand observed population_year2015=4609400 persons.
New Zealand observed population_year2016=4714100 persons.
New Zealand observed population_year2017=4813600 persons.
New Zealand observed population_year2018=4900600 persons.
New Zealand observed population_year2019=4970300 persons.
New Zealand observed population_year2020=5072400 persons.
New Zealand observed population_year2021=5084600 persons.
New Zealand observed population_year2022=5081700 persons.
New Zealand observed population_year2023=5200000 persons.
