Record: Other small states (OSS), indicator=Total_Population
Other small states observed population_year2000=9788238 persons.
Other small states observed population_year2001=9961679 persons.
Other small states observed population_year2002=10136134 persons.
Other small states observed population_year2003=10269557 persons.
Other small states observed population_year2004=10371059 persons.
Other small states observed population_year2005=10479844 persons.
Other small states observed population_year2006=10601352 persons.
Other small states observed population_year2007=10730365 persons.
Other small states observed population_year2008=10862640 persons.
Other small states observed population_year2009=10989567 persons.
Other small states observed population_year2010=11112466 persons.
Other small states observed population_year2011=11226214 persons.
Other small states observed population_year2012=11346082 persons.
Other small states observed population_year2013=11466589 persons.
Other small states observed population_year2014=11591200 persons.
Other small states observed population_year2015=11722398 persons.
Other small states observed population_year2016=11851918 persons.
Other small states observed population_year2017=11989367 persons.
Other small states observed population_year2018=12135267 persons.
Other small states observed population_year2019=12281907 persons.
Other small states observed population_year2020=12417333 persons.
Other small states observed population_year2021=12541889 persons.
Other small states observed population_year2022=12699005 persons.
Other small states observed population_year2023=12822134 persons.
