Record: Pre-demographic dividend (PRE), indicator=Total_Population
Pre-demographic dividend observed population_year2000=562428025 persons.
Pre-demographic dividend observed population_year2001=578587390 persons.
Pre-demographic dividend observed population_year2002=596114535 persons.
Pre-demographic dividend observed population_year2003=614269146 persons.
Pre-demographic dividend observed population_year2004=632445407 persons.
Pre-demographic dividend observed population_year2005=651320620 persons.
Pre-demographic dividend observed population_year2006=670229212 persons.
Pre-demographic dividend observed population_year2007=688722596 persons.
Pre-demographic dividend observed population_year2008=708796270 persons.
Pre-demographic dividend observed population_year2009=730293963 persons.
Pre-demographic dividend observed population_year2010=752046672 persons.
Pre-demographic dividend observed population_year2011=774567417 persons.
Pre-demographic dividend observed population_year2012=798002725 persons.
Pre-demographic dividend observed population_year2013=822138419 persons.
Pre-demographic dividend observed population_year2014=846420736 persons.
Pre-demographic dividend observed population_year2015=870587800 persons.
Pre-demographic dividend observed population_year2016=895239872 persons.
Pre-demographic dividend observed population_year2017=920568701 persons.
Pre-demographic dividend observed population_year2018=946317177 persons.
Pre-demographic dividend observed population_year2019=972302503 persons.
Pre-demographic dividend observed population_year2020=998624261 persons.
Pre-demographic dividend observed population_year2021=1024960313 persons.
Pre-demographic dividend observed population_year2022=1051201551 persons.
Pre-demographic dividend observed population_year2023=1078224044 persons.
