Record: French Polynesia (PYF), indicator=Total_Population
French Polynesia observed population_year2000=240337 persons.
French Polynesia observed population_year2001=244097 persons.
French Polynesia observed population_year2002=247775 persons.
French Polynesia observed population_year2003=251637 persons.
French Polynesia observed population_year2004=255654 persons.
French Polynesia observed population_year2005=259507 persons.
French Polynesia observed population_year2006=263223 persons.
French Polynesia observed population_year2007=266438 persons.
French Polynesia observed population_year2008=268379 persons.
French Polynesia observed population_year2009=269481 persons.
French Polynesia observed population_year2010=270580 persons.
French Polynesia observed population_year2011=271727 persons.
French Polynesia observed population_year2012=273084 persons.
French Polynesia observed population_year2013=274728 persons.
French Polynesia observed population_year2014=276387 persons.
French Polynesia observed population_year2015=277866 persons.
French Polynesia observed population_year2016=279178 persons.
French Polynesia observed population_year2017=280087 persons.
French Polynesia observed population_year2018=279815 persons.
French Polynesia observed population_year2019=279034 persons.
French Polynesia observed population_year2020=279209 persons.
French Polynesia observed population_year2021=279792 persons.
French Polynesia observed population_year2022=280378 persons.
French Polynesia observed population_year2023=281118 persons.
