Record: Romania (ROU), indicator=Total_Population
Romania observed population_year2000=22442971 persons.
Romania observed population_year2001=22131970 persons.
Romania observed population_year2002=21730496 persons.
Romania observed population_year2003=21574326 persons.
Romania observed population_year2004=21451748 persons.
Romania observed population_year2005=21319685 persons.
Romania observed population_year2006=21193760 persons.
Romania observed population_year2007=20882982 persons.
Romania observed population_year2008=20537875 persons.
Romania observed population_year2009=20367487 persons.
Romania observed population_year2010=20246871 persons.
Romania observed population_year2011=20147528 persons.
Romania observed population_year2012=20058035 persons.
Romania observed population_year2013=19983693 persons.
Romania observed population_year2014=19908979 persons.
Romania observed population_year2015=19815616 persons.
Romania observed population_year2016=19702267 persons.
Romania observed population_year2017=19588715 persons.
Romania observed population_year2018=19473970 persons.
Romania observed population_year2019=19371648 persons.
Romania observed population_year2020=19265250 persons.
Romania observed population_year2021=19122059 persons.
Romania observed population_year2022=19048502 persons.
Romania observed population_year2023=19061062 persons.
