Record: Rwanda (RWA), indicator=Total_Population
Rwanda observed population_year2000=8213931 persons.
Rwanda observed population_year2001=8287094 persons.
Rwanda observed population_year2002=8400180 persons.
Rwanda observed population_year2003=8586875 persons.
Rwanda observed population_year2004=8816844 persons.
Rwanda observed population_year2005=9054528 persons.
Rwanda observed population_year2006=9299246 persons.
Rwanda observed population_year2007=9549933 persons.
Rwanda observed population_year2008=9804269 persons.
Rwanda observed population_year2009=10060432 persons.
Rwanda observed population_year2010=10317553 persons.
Rwanda observed population_year2011=10573733 persons.
Rwanda observed population_year2012=10829901 persons.
Rwanda observed population_year2013=11093340 persons.
Rwanda observed population_year2014=11364757 persons.
Rwanda observed population_year2015=11640022 persons.
Rwanda observed population_year2016=11919183 persons.
Rwanda observed population_year2017=12202060 persons.
Rwanda observed population_year2018=12487996 persons.
Rwanda observed population_year2019=12776103 persons.
Rwanda observed population_year2020=13065837 persons.
Rwanda observed population_year2021=13355260 persons.
Rwanda observed population_year2022=13651030 persons.
Rwanda observed population_year2023=13954471 persons.
