Record: Senegal (SEN), indicator=Total_Population
Senegal observed population_year2000=9968260 persons.
Senegal observed population_year2001=10212942 persons.
Senegal observed population_year2002=10466214 persons.
Senegal observed population_year2003=10721176 persons.
Senegal observed population_year2004=10975704 persons.
Senegal observed population_year2005=11235472 persons.
Senegal observed population_year2006=11500094 persons.
Senegal observed population_year2007=11770344 persons.
Senegal observed population_year2008=12048959 persons.
Senegal observed population_year2009=12337389 persons.
Senegal observed population_year2010=12635413 persons.
Senegal observed population_year2011=12958897 persons.
Senegal observed population_year2012=13310495 persons.
Senegal observed population_year2013=13710849 persons.
Senegal observed population_year2014=14152102 persons.
Senegal observed population_year2015=14593331 persons.
Senegal observed population_year2016=15034521 persons.
Senegal observed population_year2017=15475002 persons.
Senegal observed population_year2018=15914498 persons.
Senegal observed population_year2019=16352922 persons.
Senegal observed population_year2020=16789219 persons.
Senegal observed population_year2021=17220867 persons.
Senegal observed population_year2022=17651103 persons.
Senegal observed population_year2023=18077573 persons.
