Record: Sweden (SWE), indicator=Total_Population
Sweden observed population_year2000=8872109 persons.
Sweden observed population_year2001=8895960 persons.
Sweden observed population_year2002=8924958 persons.
Sweden observed population_year2003=8958229 persons.
Sweden observed population_year2004=8993531 persons.
Sweden observed population_year2005=9029572 persons.
Sweden observed population_year2006=9080505 persons.
Sweden observed population_year2007=9148092 persons.
Sweden observed population_year2008=9219637 persons.
Sweden observed population_year2009=9298515 persons.
Sweden observed population_year2010=9378126 persons.
Sweden observed population_year2011=9449213 persons.
Sweden observed population_year2012=9519374 persons.
Sweden observed population_year2013=9600379 persons.
Sweden observed population_year2014=9696110 persons.
Sweden observed population_year2015=9799186 persons.
Sweden observed population_year2016=9923085 persons.
Sweden observed population_year2017=10057698 persons.
Sweden observed population_year2018=10175214 persons.
Sweden observed population_year2019=10278887 persons.
Sweden observed population_year2020=10353442 persons.
Sweden observed population_year2021=10415811 persons.
Sweden observed population_year2022=10486941 persons.
Sweden observed population_year2023=10536632 persons.
