Record: Eswatini (SWZ), indicator=Total_Population
Eswatini observed population_year2000=1041414 persons.
Eswatini observed population_year2001=1051064 persons.
Eswatini observed population_year2002=1059441 persons.
Eswatini observed population_year2003=1066700 persons.
Eswatini observed population_year2004=1073159 persons.
Eswatini observed population_year2005=1079022 persons.
Eswatini observed population_year2006=1084436 persons.
Eswatini observed population_year2007=1090705 persons.
Eswatini observed population_year2008=1098091 persons.
Eswatini observed population_year2009=1105153 persons.
Eswatini observed population_year2010=1111650 persons.
Eswatini observed population_year2011=1117833 persons.
Eswatini observed population_year2012=1123863 persons.
Eswatini observed population_year2013=1129990 persons.
Eswatini observed population_year2014=1136299 persons.
Eswatini observed population_year2015=1142813 persons.
Eswatini observed population_year2016=1149507 persons.
Eswatini observed population_year2017=1158195 persons.
Eswatini observed population_year2018=1168929 persons.
Eswatini observed population_year2019=1179874 persons.
Eswatini observed population_year2020=1192729 persons.
Eswatini observed population_year2021=1206593 persons.
Eswatini observed population_year2022=1218917 persons.
Eswatini observed population_year2023=1230506 persons.
