Record: Sint Maarten (Dutch part) (SXM), indicator=Total_Population
Sint Maarten (Dutch part) observed population_year2000=30773 persons.
Sint Maarten (Dutch part) observed population_year2001=30726 persons.
Sint Maarten (Dutch part) observed population_year2002=30960 persons.
Sint Maarten (Dutch part) observed population_year2003=31327 persons.
Sint Maarten (Dutch part) observed population_year2004=31690 persons.
Sint Maarten (Dutch part) observed population_year2005=32057 persons.
Sint Maarten (Dutch part) observed population_year2006=32428 persons.
Sint Maarten (Dutch part) observed population_year2007=32791 persons.
Sint Maarten (Dutch part) observed population_year2008=33145 persons.
Sint Maarten (Dutch part) observed population_year2009=33491 persons.
Sint Maarten (Dutch part) observed population_year2010=33794 persons.
Sint Maarten (Dutch part) observed population_year2011=34267 persons.
Sint Maarten (Dutch part) observed population_year2012=35023 persons.
Sint Maarten (Dutch part) observed population_year2013=35854 persons.
Sint Maarten (Dutch part) observed population_year2014=36672 persons.
Sint Maarten (Dutch part) observed population_year2015=37471 persons.
Sint Maarten (Dutch part) observed population_year2016=38249 persons.
Sint Maarten (Dutch part) observed population_year2017=38996 persons.
Sint Maarten (Dutch part) observed population_year2018=39712 persons.
Sint Maarten (Dutch part) observed population_year2019=40385 persons.
Sint Maarten (Dutch part) observed population_year2020=41008 persons.
Sint Maarten (Dutch part) observed population_year2021=41571 persons.
Sint Maarten (Dutch part) observed population_year2022=42139 persons.
Sint Maarten (Dutch part) observed population_year2023=42749 persons.
