Record: Syrian Arab Republic (SYR), indicator=Total_Population
Syrian Arab Republic observed population_year2000=16637888 persons.
Syrian Arab Republic observed population_year2001=17051338 persons.
Syrian Arab Republic observed population_year2002=17468332 persons.
Syrian Arab Republic observed population_year2003=17889296 persons.
Syrian Arab Republic observed population_year2004=18336875 persons.
Syrian Arab Republic observed population_year2005=18814091 persons.
Syrian Arab Republic observed population_year2006=19637022 persons.
Syrian Arab Republic observed population_year2007=20884125 persons.
Syrian Arab Republic observed population_year2008=21636564 persons.
Syrian Arab Republic observed population_year2009=21976969 persons.
Syrian Arab Republic observed population_year2010=22482421 persons.
Syrian Arab Republic observed population_year2011=22878098 persons.
Syrian Arab Republic observed population_year2012=22759763 persons.
Syrian Arab Republic observed population_year2013=21666917 persons.
Syrian Arab Republic observed population_year2014=20273659 persons.
Syrian Arab Republic observed population_year2015=19424618 persons.
Syrian Arab Republic observed population_year2016=19193834 persons.
Syrian Arab Republic observed population_year2017=19224668 persons.
Syrian Arab Republic observed population_year2018=19577845 persons.
Syrian Arab Republic observed population_year2019=20353534 persons.
Syrian Arab Republic observed population_year2020=21049429 persons.
Syrian Arab Republic observed population_year2021=21628839 persons.
Syrian Arab Republic observed population_year2022=22462173 persons.
Syrian Arab Republic observed population_year2023=23594623 persons.
