Record: Latin America & the Caribbean (IDA & IBRD countries) (TLA), indicator=Total_Population
Latin America & the Caribbean (IDA & IBRD countries) observed population_year2000=504556065 persons.
Latin America & the Caribbean (IDA & IBRD countries) observed population_year2001=511809816 persons.
Latin America & the Caribbean (IDA & IBRD countries) observed population_year2002=518881965 persons.
Latin America & the Caribbean (IDA & IBRD countries) observed population_year2003=525787222 persons.
Latin America & the Caribbean (IDA & IBRD countries) observed population_year2004=532556401 persons.
Latin America & the Caribbean (IDA & IBRD countries) observed population_year2005=539188798 persons.
Latin America & the Caribbean (IDA & IBRD countries) observed population_year2006=545805913 persons.
Latin America & the Caribbean (IDA & IBRD countries) observed population_year2007=552399650 persons.
Latin America & the Caribbean (IDA & IBRD countries) observed population_year2008=558968822 persons.
Latin America & the Caribbean (IDA & IBRD countries) observed population_year2009=565454932 persons.
Latin America & the Caribbean (IDA & IBRD countries) observed population_year2010=571822092 persons.
Latin America & the Caribbean (IDA & IBRD countries) observed population_year2011=578171855 persons.
Latin America & the Caribbean (IDA & IBRD countries) observed population_year2012=584524334 persons.
Latin America & the Caribbean (IDA & IBRD countries) observed population_year2013=590809938 persons.
Latin America & the Caribbean (IDA & IBRD countries) observed population_year2014=597023419 persons.
Latin America & the Caribbean (IDA & IBRD countries) observed population_year2015=603091701 persons.
Latin America & the Caribbean (IDA & IBRD countries) observed population_year2016=609017063 persons.
Latin America & the Caribbean (IDA & IBRD countries) observed population_year2017=614776664 persons.
Latin America & the Caribbean (IDA & IBRD countries) observed population_year2018=620274430 persons.
Latin America & the Caribbean (IDA & IBRD countries) observed population_year2019=625467307 persons.
Latin America & the Caribbean (IDA & IBRD countries) observed population_year2020=630051021 persons.
Latin America & the Caribbean (IDA & IBRD countries) observed population_year2021=633862610 persons.
Latin America & the Caribbean (IDA & IBRD countries) observed population_year2022=637837815 persons.
Latin America & the Caribbean (IDA & IBRD countries) observed population_year2023=642397939 persons.
