Record: Turkiye (TUR), indicator=Total_Population
Turkiye observed population_year2000=65425961 persons.
Turkiye observed population_year2001=66245128 persons.
Turkiye observed population_year2002=67048795 persons.
Turkiye observed population_year2003=67831730 persons.
Turkiye observed population_year2004=68592617 persons.
Turkiye observed population_year2005=69329557 persons.
Turkiye observed population_year2006=70045349 persons.
Turkiye observed population_year2007=70158112 persons.
Turkiye observed population_year2008=71051678 persons.
Turkiye observed population_year2009=72039206 persons.
Turkiye observed population_year2010=73142150 persons.
Turkiye observed population_year2011=74223629 persons.
Turkiye observed population_year2012=75175827 persons.
Turkiye observed population_year2013=76147624 persons.
Turkiye observed population_year2014=77181884 persons.
Turkiye observed population_year2015=78218479 persons.
Turkiye observed population_year2016=79277962 persons.
Turkiye observed population_year2017=80312698 persons.
Turkiye observed population_year2018=81407204 persons.
Turkiye observed population_year2019=82579440 persons.
Turkiye observed population_year2020=83384680 persons.
Turkiye observed population_year2021=84147318 persons.
Turkiye observed population_year2022=84979913 persons.
Turkiye observed population_year2023=85325965 persons.
